File,Zero_Crossing_Rate,RMS_Energy,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,MFCC_1_mean,MFCC_1_std,MFCC_2_mean,MFCC_2_std,MFCC_3_mean,MFCC_3_std,MFCC_4_mean,MFCC_4_std,MFCC_5_mean,MFCC_5_std,MFCC_6_mean,MFCC_6_std,MFCC_7_mean,MFCC_7_std,MFCC_8_mean,MFCC_8_std,MFCC_9_mean,MFCC_9_std,MFCC_10_mean,MFCC_10_std,MFCC_11_mean,MFCC_11_std,MFCC_12_mean,MFCC_12_std,MFCC_13_mean,MFCC_13_std,Spectral_Contrast_1,Spectral_Contrast_2,Spectral_Contrast_3,Spectral_Contrast_4,Spectral_Contrast_5,Spectral_Contrast_6,Spectral_Contrast_7,Species
Greater_Prairie_Chicken_10_segment.wav,0.2560429053074246,0.004601399,3186.5449416985944,1900.2298122865159,5041.817153966067,-657.88055,143.05115,-3.4214315,25.956001,-102.45327,73.86691,-13.100886,20.933695,0.9214473,12.413602,11.260061,11.957308,-6.224598,13.252163,2.5482047,9.522906,-10.719453,11.00359,-3.3934677,8.990069,-7.039584,12.524868,5.7604175,13.928011,9.5205965,13.641894,26.854666855074225,17.638621460371475,17.11525779309577,18.455050086319208,16.79486358601919,17.560830830462315,53.35417680344926,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_11_segment.wav,0.21241027407192575,0.0015615947,2863.890518623334,1814.9292187639885,4593.816614704177,-673.65686,123.25917,-6.1282573,27.704527,-126.537025,41.340305,-14.831664,23.631327,-19.018854,16.24525,16.507074,11.9994955,-14.972389,17.297092,-1.1564584,11.229511,-13.150955,15.093651,-9.097123,9.20545,-11.171091,13.551024,3.261764,12.583682,8.542443,13.187271,26.774133480225235,18.665709377917086,16.21473174996636,19.236077247659956,18.974518441517915,16.752514592590057,53.359756924169844,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_12_segment.wav,0.19964358867459397,0.0013068081,2612.5048324384315,1639.249185069099,4093.107190762761,-697.91254,100.045425,16.030138,32.122784,-121.20854,49.71831,-10.9795885,26.731646,-22.87522,23.556257,12.607839,15.235909,-3.926646,17.532196,-3.9133165,14.312228,-9.026614,10.940163,-17.238514,14.465552,-10.440472,11.4023,3.319228,15.3333435,6.4474425,13.227114,26.987707452017567,18.942718014298777,17.178623622398213,19.498140656064724,20.226811696757547,18.506582525216757,50.93259698406921,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_13_segment.wav,0.18147408823955916,0.029979015,2415.713928113929,1382.148857302994,3301.574622063515,-409.43497,45.19594,0.0822802,20.38675,-148.27382,28.566402,-28.574205,23.247467,2.2424154,17.929113,14.567968,15.090766,-7.9305425,17.790615,16.46663,12.804914,2.218818,12.446921,-1.7495341,11.621449,-0.5533799,9.21949,10.159708,12.182559,3.5577333,9.065399,26.833970104106157,21.401192294650738,26.338927168779108,21.223912596610525,22.272694657359594,18.567118087580596,55.49953179584879,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_14_segment.wav,0.10082271425464037,0.0014875864,1429.8328808419974,1125.7256550862808,2042.5067521026683,-627.24536,34.706688,101.61902,19.646006,-67.5559,20.178864,-78.448555,14.05572,-38.074345,15.789361,-13.346333,13.358061,-7.9783187,11.124956,-2.363045,8.708025,2.629788,9.339033,-5.8727703,10.765539,-6.630934,9.076206,-1.6708932,8.331434,-1.5592471,9.35552,26.61410333919176,27.298488023991187,18.991203309602884,17.03005535908191,20.663749725216498,20.685396360038254,45.0163354681314,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_15_segment.wav,0.2857159041473318,0.009007616,3458.043276385471,1746.6498166875278,5165.370776537123,-430.03418,25.743244,-9.340838,17.47168,-114.83016,20.153893,-9.557142,18.942698,-51.41766,18.135237,20.36089,15.272425,-10.223205,15.750264,5.990398,13.004526,5.5151486,12.468148,-5.347304,13.736989,-1.0385563,12.2506275,0.09261752,11.528752,-1.8908206,10.57878,26.48014472054361,27.00353906361877,18.82295555798207,15.356008472578829,18.22900731047837,21.018508295566697,58.224294615717604,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_16_segment.wav,0.25922183149651973,0.008619024,3202.1291433218526,1641.2332367335248,4889.91064792996,-441.67465,35.906036,-28.30154,16.563793,-159.53836,23.389706,-14.902831,18.842022,-51.629887,15.397454,21.534883,14.3946495,-24.112494,13.499536,7.081654,12.026267,-4.2791758,11.631175,-1.9384019,9.919465,-12.685916,11.97908,-0.31203374,10.0460005,-5.614551,9.903822,26.882741955079414,26.91553498996331,18.398566359939597,15.989170153925823,18.918485368620917,20.01870805726034,59.030167492290445,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_17_segment.wav,0.2590349024796984,0.011474839,3204.0661885888776,1560.9809622577375,4680.9486477668215,-425.22958,37.934006,-25.204237,16.563404,-152.64403,23.197927,-2.1450782,15.289728,-42.090595,16.442179,13.836703,15.020439,-18.294842,15.540604,10.4473,11.842525,-3.1316476,12.290886,-0.80296016,11.068384,-12.680038,11.035604,2.4225593,12.271652,-1.4125419,11.197494,26.849957871935295,27.427249458605235,18.132927849836268,15.767826799597415,19.084247411793072,20.58826974197196,58.71600325403594,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_18_segment.wav,0.21327241335556846,0.012991487,2842.6789396401473,1582.423545659363,4487.949196091938,-424.2571,45.376728,-18.480387,16.893393,-159.98874,21.872204,-15.832903,16.922615,-32.412785,15.879649,20.913315,14.709942,-18.143131,12.275123,10.234236,13.111392,0.57646286,12.156507,-0.5094351,10.023307,-7.463518,10.052977,4.527685,9.550908,-1.8701841,9.6315155,26.860149544899638,25.82002969931163,18.770443968405793,17.95730978706515,19.329519537297706,19.085289920129817,58.372178284852694,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_19_segment.wav,0.39223485535092806,0.0008625301,4508.257941909481,2188.0902662975877,6807.864556898927,-602.48834,10.373397,-58.668243,12.491263,-88.32818,6.8939705,-23.169165,8.2563,-51.927067,9.924104,14.781579,11.3386755,-12.470904,9.965537,6.9351754,8.202968,-10.153351,8.019788,-0.76081717,8.477865,-14.160036,8.198291,2.773281,8.474025,-11.282886,8.137574,26.577673548472962,23.801592987835555,17.291971424951495,13.394460458102765,13.535628257642816,17.700771471131908,54.370783131992575,Greater Prairie Chicken_filtered
